workclass=Self-emp-not-inc | Precision: 0.6699 | Recall: 0.4894 | F1: 0.5656
native-country=Iran | Precision: 1.0000 | Recall: 0.0000 | F1: 0.0000
native-country=England | Precision: 0.5000 | Recall: 0.6667 | F1: 0.5714
native-country=China | Precision: 0.8000 | Recall: 0.8000 | F1: 0.8000
native-country=Philippines | Precision: 0.8750 | Recall: 0.8750 | F1: 0.8750
native-country=Dominican-Republic | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
native-country=Nicaragua | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
native-country=South | Precision: 0.3333 | Recall: 0.3333 | F1: 0.3333
native-country=Puerto-Rico | Precision: 0.3333 | Recall: 1.0000 | F1: 0.5000
native-country=Taiwan | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
native-country=Canada | Precision: 0.5000 | Recall: 0.6667 | F1: 0.5714
native-country=Cuba | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
native-country=Greece | Precision: 1.0000 | Recall: 0.0000 | F1: 0.0000
native-country=El-Salvador | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
native-country=Ireland | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
native-country=Columbia | Precision: 0.0000 | Recall: 1.0000 | F1: 0.0000
native-country=Poland | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
native-country=Cambodia | Precision: 1.0000 | Recall: 0.0000 | F1: 0.0000
native-country=Ecuador | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
native-country=Yugoslavia | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
native-country=Guatemala | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
native-country=Outlying-US(Guam-USVI-etc) | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
native-country=Thailand | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
native-country=Vietnam | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
native-country=France | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
native-country=Peru | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
native-country=Hong | Precision: 1.0000 | Recall: 0.5000 | F1: 0.6667
native-country=Trinadad&Tobago | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
